df,method,metric,mean,std,n_seeds
50.0,rafm_oracle,angular_sw_mean,0.012402,0.000851121,3
50.0,rafm_oracle,exploding_norm_rate,0,0,3
50.0,rafm_oracle,invalid_rate,0,0,3
50.0,rafm_oracle,ks_stat,0.0110667,0.00469492,3
50.0,rafm_oracle,mmd,0.000223875,8.11563e-05,3
50.0,rafm_oracle,nan_rate,0,0,3
50.0,rafm_oracle,nfe,512,0,3
50.0,rafm_oracle,q950_err,0.0041575,0.00163252,3
50.0,rafm_oracle,q990_err,0.0109415,0.00326524,3
50.0,rafm_oracle,q995_err,0.0114639,0.0076163,3
50.0,rafm_oracle,radial_w1,0.0734713,0.0371695,3
50.0,rafm_oracle,sample_time_s,0.243208,0.0138813,3
50.0,rafm_oracle,sliced_w1,0.104042,0.0166583,3
50.0,rafm_oracle,tail_exc_95,0.00243333,0.00142673,3
50.0,rafm_oracle,tail_exc_99,0.00116667,0.000309121,3
50.0,rafm_oracle,total_train_time_s,32.4337,0.152226,3
50.0,source_only_empirical,angular_sw_bin0,0.0122309,0.00076202,3
50.0,source_only_empirical,angular_sw_bin1,0.0111472,0.000220664,3
50.0,source_only_empirical,angular_sw_bin2,0.0116205,0.00196081,3
50.0,source_only_empirical,angular_sw_bin3,0.014739,0.00485552,3
50.0,source_only_empirical,angular_sw_mean,0.0124344,0.00174279,3
50.0,source_only_empirical,exploding_norm_rate,0,0,3
50.0,source_only_empirical,invalid_rate,0,0,3
50.0,source_only_empirical,ks_stat,0.0174333,0.00151511,3
50.0,source_only_empirical,mmd,0.00033772,0.000165738,3
50.0,source_only_empirical,nan_rate,0,0,3
50.0,source_only_empirical,nfe,512,0,3
50.0,source_only_empirical,q950_err,0.0115036,0.00299106,3
50.0,source_only_empirical,q990_err,0.0248362,0.00764513,3
50.0,source_only_empirical,q995_err,0.0294236,0.00942912,3
50.0,source_only_empirical,radial_w1,0.139568,0.00670546,3
50.0,source_only_empirical,sample_time_s,0.163525,0.00588429,3
50.0,source_only_empirical,sliced_w1,0.126053,0.0272284,3
50.0,source_only_empirical,tail_exc_95,0.00523333,0.000793025,3
50.0,source_only_empirical,tail_exc_99,0.00323333,0.000679869,3
50.0,source_only_empirical,total_train_time_s,17.9066,0.0907287,3
